ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name,Family,Concept_Count,Form_Count,Contribution_ID,Family_Name
1,Dutch,Eurasia,52.5,6,dutc1256,nld,Dutch,indo1319,1478,1478,wold,Indo-European
2,Romanian,Eurasia,46,25,roma1327,ron,Romanian,indo1319,2143,2143,wold,Indo-European
3,Vietnamese,Eurasia,10.5,106.5,viet1252,vie,Vietnamese,aust1305,1438,1438,wold,Austroasiatic
4,Japanese,Eurasia,37,140,nucl1643,jpn,Japanese,japo1237,2016,2016,wold,Japonic
5,Mandarin Chinese,Eurasia,34,110,mand1415,cmn,Mandarin Chinese,sino1245,2016,2016,wold,Sino-Tibetan
6,Hawaiian,Papunesia,19.5833,-155.5,hawa1245,haw,Hawaiian,aust1307,1406,1406,wold,Austronesian
7,Lower Sorbian,Eurasia,51.75,14.3333,lowe1385,dsb,Lower Sorbian,indo1319,1627,1627,wold,Indo-European
8,Otomi,North America,20.1667,-98.8333,mezq1235,ote,Mezquital Otomi,otom1299,2397,2397,wold,Otomanguean
9,Seychelles Creole,Africa,-4.75,55.5,sese1246,crs,Seselwa Creole French,indo1319,1986,1986,wold,Indo-European
10,Thai,Eurasia,16,101,thai1261,tha,Thai,taik1256,1978,1978,wold,Tai-Kadai
11,Modern Greek,Eurasia,38.36,23.13,mode1248,ell,Modern Greek,indo1319,1749,1749,idssegmented,Indo-European
12,Spanish,Eurasia,40.4414,-1.11788,stan1288,spa,Spanish,indo1319,1799,1799,keypano,Indo-European
13,Portuguese,Eurasia,39.91,-8.1,port1283,por,Portuguese,indo1319,1708,1708,keypano,Indo-European
14,Yiddish,Eurasia,51.75,19.42,east2295,ydd,Eastern Yiddish,indo1319,1812,1812,idssegmented,Indo-European
15,Shan (Northern Shan dialect),Eurasia,21.5995,98.0342,shan1277,shn,Shan,taik1256,1935,1935,idssegmented,Tai-Kadai
16,Tai Khün,Eurasia,19.6062,99.3363,khun1259,kkh,Khün,taik1256,1581,1581,idssegmented,Tai-Kadai
17,Estonian,Eurasia,58.55,25.82,esto1258,ekk,Estonian,ural1272,1714,1714,idssegmented,Uralic
18,Finnish,Eurasia,64.7628,25.5577,finn1318,fin,Finnish,ural1272,1754,1754,idssegmented,Uralic
19,Ingush,Eurasia,43.11,45.03,ingu1240,inh,Ingush,nakh1245,1536,1536,idssegmented,Nakh-Daghestanian
20,Azerbaijani,Eurasia,40.97768,46.4737,nort2697,azj,North Azerbaijani,turk1311,1788,1788,idssegmented,Turkic
