ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,SourceWord,TargetWord
sky-colexifies-uporabove-clicsbp-bantubvd-6,clicsbp-bantubvd-6,,1,,,,,
sky-colexifies-uporabove-clicsbp-bantubvd-5,clicsbp-bantubvd-5,,1,,,,,
sky-colexifies-uporabove-clicsbp-bantubvd-3,clicsbp-bantubvd-3,,1,,,,,
sky-colexifies-uporabove-clicsbp-bantubvd-10,clicsbp-bantubvd-10,,0,,,,,
sky-colexifies-uporabove-clicsbp-bantubvd-9,clicsbp-bantubvd-9,,0,,,,,
sky-colexifies-uporabove-clicsbp-bantubvd-1,clicsbp-bantubvd-1,,0,,,,,
sky-colexifies-uporabove-clicsbp-bantubvd-2,clicsbp-bantubvd-2,,0,,,,,
sky-colexifies-uporabove-clicsbp-bantubvd-7,clicsbp-bantubvd-7,,0,,,,,
sky-colexifies-uporabove-clicsbp-bantubvd-4,clicsbp-bantubvd-4,,0,,,,,
sky-colexifies-uporabove-clicsbp-bantubvd-8,clicsbp-bantubvd-8,,0,,,,,
sky-colexifies-cloud-clicsbp-bantubvd-1,clicsbp-bantubvd-1,,1,,,,,
sky-colexifies-cloud-clicsbp-allenbai-Heqing,clicsbp-allenbai-Heqing,,0,,,,,
sky-colexifies-cloud-clicsbp-allenbai-Jianchuan,clicsbp-allenbai-Jianchuan,,0,,,,,
sky-colexifies-cloud-clicsbp-allenbai-Qiliqiao,clicsbp-allenbai-Qiliqiao,,0,,,,,
sky-colexifies-cloud-clicsbp-allenbai-Yunlong,clicsbp-allenbai-Yunlong,,0,,,,,
sky-colexifies-cloud-clicsbp-allenbai-Lanping,clicsbp-allenbai-Lanping,,0,,,,,
sky-colexifies-cloud-clicsbp-allenbai-Luobenzhuo,clicsbp-allenbai-Luobenzhuo,,0,,,,,
sky-colexifies-cloud-clicsbp-allenbai-Xiangyun,clicsbp-allenbai-Xiangyun,,0,,,,,
sky-colexifies-cloud-clicsbp-allenbai-Eryuan,clicsbp-allenbai-Eryuan,,0,,,,,
sky-colexifies-cloud-clicsbp-allenbai-Zhoucheng,clicsbp-allenbai-Zhoucheng,,0,,,,,
sky-colexifies-cloud-clicsbp-bantubvd-6,clicsbp-bantubvd-6,,0,,,,,
sky-colexifies-cloud-clicsbp-bantubvd-10,clicsbp-bantubvd-10,,0,,,,,
sky-colexifies-cloud-clicsbp-bantubvd-9,clicsbp-bantubvd-9,,0,,,,,
sky-colexifies-cloud-clicsbp-bantubvd-2,clicsbp-bantubvd-2,,0,,,,,
sky-colexifies-cloud-clicsbp-bantubvd-7,clicsbp-bantubvd-7,,0,,,,,
sky-colexifies-cloud-clicsbp-bantubvd-4,clicsbp-bantubvd-4,,0,,,,,
sky-colexifies-cloud-clicsbp-bantubvd-5,clicsbp-bantubvd-5,,0,,,,,
sky-colexifies-cloud-clicsbp-bantubvd-3,clicsbp-bantubvd-3,,0,,,,,
sky-colexifies-cloud-clicsbp-abrahammonpa-MonpaSangti,clicsbp-abrahammonpa-MonpaSangti,,0,,,,,
sky-colexifies-cloud-clicsbp-abrahammonpa-MonpaBalemu,clicsbp-abrahammonpa-MonpaBalemu,,0,,,,,
sky-colexifies-cloud-clicsbp-abrahammonpa-MonpaChangprong,clicsbp-abrahammonpa-MonpaChangprong,,0,,,,,
sky-colexifies-cloud-clicsbp-abrahammonpa-NamreiNabolang,clicsbp-abrahammonpa-NamreiNabolang,,0,,,,,
sky-colexifies-cloud-clicsbp-abrahammonpa-HrusoAkaJamiri,clicsbp-abrahammonpa-HrusoAkaJamiri,,0,,,,,
sky-colexifies-mountain-clicsbp-bantubvd-2,clicsbp-bantubvd-2,,1,,,,,
sky-colexifies-mountain-clicsbp-allenbai-Heqing,clicsbp-allenbai-Heqing,,0,,,,,
sky-colexifies-mountain-clicsbp-allenbai-Jianchuan,clicsbp-allenbai-Jianchuan,,0,,,,,
sky-colexifies-mountain-clicsbp-allenbai-Qiliqiao,clicsbp-allenbai-Qiliqiao,,0,,,,,
sky-colexifies-mountain-clicsbp-allenbai-Yunlong,clicsbp-allenbai-Yunlong,,0,,,,,
sky-colexifies-mountain-clicsbp-allenbai-Lanping,clicsbp-allenbai-Lanping,,0,,,,,
sky-colexifies-mountain-clicsbp-allenbai-Luobenzhuo,clicsbp-allenbai-Luobenzhuo,,0,,,,,
sky-colexifies-mountain-clicsbp-allenbai-Xiangyun,clicsbp-allenbai-Xiangyun,,0,,,,,
sky-colexifies-mountain-clicsbp-allenbai-Eryuan,clicsbp-allenbai-Eryuan,,0,,,,,
sky-colexifies-mountain-clicsbp-allenbai-Zhoucheng,clicsbp-allenbai-Zhoucheng,,0,,,,,
sky-colexifies-mountain-clicsbp-bantubvd-6,clicsbp-bantubvd-6,,0,,,,,
sky-colexifies-mountain-clicsbp-bantubvd-10,clicsbp-bantubvd-10,,0,,,,,
sky-colexifies-mountain-clicsbp-bantubvd-9,clicsbp-bantubvd-9,,0,,,,,
sky-colexifies-mountain-clicsbp-bantubvd-1,clicsbp-bantubvd-1,,0,,,,,
sky-colexifies-mountain-clicsbp-bantubvd-7,clicsbp-bantubvd-7,,0,,,,,
sky-colexifies-mountain-clicsbp-bantubvd-4,clicsbp-bantubvd-4,,0,,,,,
sky-colexifies-mountain-clicsbp-bantubvd-5,clicsbp-bantubvd-5,,0,,,,,
sky-colexifies-mountain-clicsbp-bantubvd-3,clicsbp-bantubvd-3,,0,,,,,
sky-colexifies-mountain-clicsbp-bantubvd-8,clicsbp-bantubvd-8,,0,,,,,
sky-colexifies-mountain-clicsbp-abrahammonpa-MonpaSangti,clicsbp-abrahammonpa-MonpaSangti,,0,,,,,
sky-colexifies-mountain-clicsbp-abrahammonpa-MonpaBalemu,clicsbp-abrahammonpa-MonpaBalemu,,0,,,,,
sky-colexifies-mountain-clicsbp-abrahammonpa-MonpaChangprong,clicsbp-abrahammonpa-MonpaChangprong,,0,,,,,
sky-colexifies-mountain-clicsbp-abrahammonpa-NamreiNabolang,clicsbp-abrahammonpa-NamreiNabolang,,0,,,,,
sky-colexifies-mountain-clicsbp-abrahammonpa-HrusoAkaJamiri,clicsbp-abrahammonpa-HrusoAkaJamiri,,0,,,,,
sky-colexifies-hill-clicsbp-bantubvd-2,clicsbp-bantubvd-2,,1,,,,,
sky-colexifies-hill-clicsbp-bantubvd-6,clicsbp-bantubvd-6,,0,,,,,
sky-colexifies-hill-clicsbp-bantubvd-10,clicsbp-bantubvd-10,,0,,,,,
sky-colexifies-hill-clicsbp-bantubvd-9,clicsbp-bantubvd-9,,0,,,,,
sky-colexifies-hill-clicsbp-bantubvd-1,clicsbp-bantubvd-1,,0,,,,,
sky-colexifies-hill-clicsbp-bantubvd-7,clicsbp-bantubvd-7,,0,,,,,
sky-colexifies-hill-clicsbp-bantubvd-4,clicsbp-bantubvd-4,,0,,,,,
sky-colexifies-hill-clicsbp-bantubvd-5,clicsbp-bantubvd-5,,0,,,,,
sky-colexifies-hill-clicsbp-bantubvd-3,clicsbp-bantubvd-3,,0,,,,,
sky-colexifies-hill-clicsbp-bantubvd-8,clicsbp-bantubvd-8,,0,,,,,
sky-colexifies-anthill-clicsbp-bantubvd-4,clicsbp-bantubvd-4,,1,,,,,
sky-colexifies-anthill-clicsbp-bantubvd-6,clicsbp-bantubvd-6,,0,,,,,
sky-colexifies-anthill-clicsbp-bantubvd-10,clicsbp-bantubvd-10,,0,,,,,
sky-colexifies-anthill-clicsbp-bantubvd-9,clicsbp-bantubvd-9,,0,,,,,
sky-colexifies-anthill-clicsbp-bantubvd-1,clicsbp-bantubvd-1,,0,,,,,
sky-colexifies-anthill-clicsbp-bantubvd-2,clicsbp-bantubvd-2,,0,,,,,
sky-colexifies-anthill-clicsbp-bantubvd-7,clicsbp-bantubvd-7,,0,,,,,
sky-colexifies-anthill-clicsbp-bantubvd-3,clicsbp-bantubvd-3,,0,,,,,
sky-colexifies-leg-clicsbp-bantubvd-4,clicsbp-bantubvd-4,,1,,,,,
sky-colexifies-leg-clicsbp-bantubvd-8,clicsbp-bantubvd-8,,1,,,,,
sky-colexifies-leg-clicsbp-bantubvd-6,clicsbp-bantubvd-6,,0,,,,,
sky-colexifies-leg-clicsbp-bantubvd-10,clicsbp-bantubvd-10,,0,,,,,
sky-colexifies-leg-clicsbp-bantubvd-9,clicsbp-bantubvd-9,,0,,,,,
sky-colexifies-leg-clicsbp-bantubvd-1,clicsbp-bantubvd-1,,0,,,,,
sky-colexifies-leg-clicsbp-bantubvd-2,clicsbp-bantubvd-2,,0,,,,,
sky-colexifies-leg-clicsbp-bantubvd-7,clicsbp-bantubvd-7,,0,,,,,
sky-colexifies-leg-clicsbp-bantubvd-5,clicsbp-bantubvd-5,,0,,,,,
sky-colexifies-leg-clicsbp-bantubvd-3,clicsbp-bantubvd-3,,0,,,,,
sky-colexifies-daynotnight-clicsbp-abrahammonpa-MonpaSangti,clicsbp-abrahammonpa-MonpaSangti,,1,,,,,
sky-colexifies-daynotnight-clicsbp-abrahammonpa-MonpaBalemu,clicsbp-abrahammonpa-MonpaBalemu,,1,,,,,
sky-colexifies-daynotnight-clicsbp-bantubvd-6,clicsbp-bantubvd-6,,0,,,,,
sky-colexifies-daynotnight-clicsbp-bantubvd-10,clicsbp-bantubvd-10,,0,,,,,
sky-colexifies-daynotnight-clicsbp-bantubvd-9,clicsbp-bantubvd-9,,0,,,,,
sky-colexifies-daynotnight-clicsbp-bantubvd-1,clicsbp-bantubvd-1,,0,,,,,
sky-colexifies-daynotnight-clicsbp-bantubvd-2,clicsbp-bantubvd-2,,0,,,,,
sky-colexifies-daynotnight-clicsbp-bantubvd-7,clicsbp-bantubvd-7,,0,,,,,
sky-colexifies-daynotnight-clicsbp-bantubvd-4,clicsbp-bantubvd-4,,0,,,,,
sky-colexifies-daynotnight-clicsbp-bantubvd-5,clicsbp-bantubvd-5,,0,,,,,
sky-colexifies-daynotnight-clicsbp-bantubvd-3,clicsbp-bantubvd-3,,0,,,,,
sky-colexifies-daynotnight-clicsbp-bantubvd-8,clicsbp-bantubvd-8,,0,,,,,
sky-colexifies-daynotnight-clicsbp-abrahammonpa-MonpaChangprong,clicsbp-abrahammonpa-MonpaChangprong,,0,,,,,
sky-colexifies-daynotnight-clicsbp-abrahammonpa-NamreiNabolang,clicsbp-abrahammonpa-NamreiNabolang,,0,,,,,
sky-colexifies-daynotnight-clicsbp-abrahammonpa-HrusoAkaJamiri,clicsbp-abrahammonpa-HrusoAkaJamiri,,0,,,,,
sky-colexifies-sun-clicsbp-abrahammonpa-MonpaSangti,clicsbp-abrahammonpa-MonpaSangti,,1,,,,,
sky-colexifies-sun-clicsbp-abrahammonpa-MonpaBalemu,clicsbp-abrahammonpa-MonpaBalemu,,1,,,,,
sky-colexifies-sun-clicsbp-abrahammonpa-MonpaChangprong,clicsbp-abrahammonpa-MonpaChangprong,,1,,,,,
sky-colexifies-sun-clicsbp-allenbai-Heqing,clicsbp-allenbai-Heqing,,0,,,,,
sky-colexifies-sun-clicsbp-allenbai-Jianchuan,clicsbp-allenbai-Jianchuan,,0,,,,,
sky-colexifies-sun-clicsbp-allenbai-Qiliqiao,clicsbp-allenbai-Qiliqiao,,0,,,,,
sky-colexifies-sun-clicsbp-allenbai-Yunlong,clicsbp-allenbai-Yunlong,,0,,,,,
sky-colexifies-sun-clicsbp-allenbai-Lanping,clicsbp-allenbai-Lanping,,0,,,,,
sky-colexifies-sun-clicsbp-allenbai-Luobenzhuo,clicsbp-allenbai-Luobenzhuo,,0,,,,,
sky-colexifies-sun-clicsbp-allenbai-Xiangyun,clicsbp-allenbai-Xiangyun,,0,,,,,
sky-colexifies-sun-clicsbp-allenbai-Eryuan,clicsbp-allenbai-Eryuan,,0,,,,,
sky-colexifies-sun-clicsbp-allenbai-Zhoucheng,clicsbp-allenbai-Zhoucheng,,0,,,,,
sky-colexifies-sun-clicsbp-bantubvd-6,clicsbp-bantubvd-6,,0,,,,,
sky-colexifies-sun-clicsbp-bantubvd-10,clicsbp-bantubvd-10,,0,,,,,
sky-colexifies-sun-clicsbp-bantubvd-9,clicsbp-bantubvd-9,,0,,,,,
sky-colexifies-sun-clicsbp-bantubvd-1,clicsbp-bantubvd-1,,0,,,,,
sky-colexifies-sun-clicsbp-bantubvd-2,clicsbp-bantubvd-2,,0,,,,,
sky-colexifies-sun-clicsbp-bantubvd-7,clicsbp-bantubvd-7,,0,,,,,
sky-colexifies-sun-clicsbp-bantubvd-4,clicsbp-bantubvd-4,,0,,,,,
sky-colexifies-sun-clicsbp-bantubvd-5,clicsbp-bantubvd-5,,0,,,,,
sky-colexifies-sun-clicsbp-bantubvd-3,clicsbp-bantubvd-3,,0,,,,,
sky-colexifies-sun-clicsbp-bantubvd-8,clicsbp-bantubvd-8,,0,,,,,
sky-colexifies-sun-clicsbp-abrahammonpa-NamreiNabolang,clicsbp-abrahammonpa-NamreiNabolang,,0,,,,,
sky-colexifies-sun-clicsbp-abrahammonpa-HrusoAkaJamiri,clicsbp-abrahammonpa-HrusoAkaJamiri,,0,,,,,
bean-colexifies-chickenclassifier-clicsbp-allenbai-Lanping,clicsbp-allenbai-Lanping,,1,,,,,
bean-colexifies-chickenclassifier-clicsbp-allenbai-Heqing,clicsbp-allenbai-Heqing,,0,,,,,
bean-colexifies-chickenclassifier-clicsbp-allenbai-Jianchuan,clicsbp-allenbai-Jianchuan,,0,,,,,
bean-colexifies-chickenclassifier-clicsbp-allenbai-Qiliqiao,clicsbp-allenbai-Qiliqiao,,0,,,,,
bean-colexifies-chickenclassifier-clicsbp-allenbai-Yunlong,clicsbp-allenbai-Yunlong,,0,,,,,
bean-colexifies-chickenclassifier-clicsbp-allenbai-Luobenzhuo,clicsbp-allenbai-Luobenzhuo,,0,,,,,
bean-colexifies-chickenclassifier-clicsbp-allenbai-Xiangyun,clicsbp-allenbai-Xiangyun,,0,,,,,
bean-colexifies-chickenclassifier-clicsbp-allenbai-Eryuan,clicsbp-allenbai-Eryuan,,0,,,,,
bean-colexifies-chickenclassifier-clicsbp-allenbai-Zhoucheng,clicsbp-allenbai-Zhoucheng,,0,,,,,
bean-colexifies-first-clicsbp-allenbai-Lanping,clicsbp-allenbai-Lanping,,1,,,,,
bean-colexifies-first-clicsbp-allenbai-Xiangyun,clicsbp-allenbai-Xiangyun,,1,,,,,
bean-colexifies-first-clicsbp-allenbai-Heqing,clicsbp-allenbai-Heqing,,0,,,,,
bean-colexifies-first-clicsbp-allenbai-Jianchuan,clicsbp-allenbai-Jianchuan,,0,,,,,
bean-colexifies-first-clicsbp-allenbai-Qiliqiao,clicsbp-allenbai-Qiliqiao,,0,,,,,
bean-colexifies-first-clicsbp-allenbai-Yunlong,clicsbp-allenbai-Yunlong,,0,,,,,
bean-colexifies-first-clicsbp-allenbai-Luobenzhuo,clicsbp-allenbai-Luobenzhuo,,0,,,,,
bean-colexifies-first-clicsbp-allenbai-Eryuan,clicsbp-allenbai-Eryuan,,0,,,,,
bean-colexifies-first-clicsbp-allenbai-Zhoucheng,clicsbp-allenbai-Zhoucheng,,0,,,,,
bean-colexifies-this-clicsbp-allenbai-Xiangyun,clicsbp-allenbai-Xiangyun,,1,,,,,
bean-colexifies-this-clicsbp-allenbai-Zhoucheng,clicsbp-allenbai-Zhoucheng,,1,,,,,
bean-colexifies-this-clicsbp-allenbai-Heqing,clicsbp-allenbai-Heqing,,0,,,,,
bean-colexifies-this-clicsbp-allenbai-Jianchuan,clicsbp-allenbai-Jianchuan,,0,,,,,
bean-colexifies-this-clicsbp-allenbai-Qiliqiao,clicsbp-allenbai-Qiliqiao,,0,,,,,
bean-colexifies-this-clicsbp-allenbai-Yunlong,clicsbp-allenbai-Yunlong,,0,,,,,
bean-colexifies-this-clicsbp-allenbai-Lanping,clicsbp-allenbai-Lanping,,0,,,,,
bean-colexifies-this-clicsbp-allenbai-Luobenzhuo,clicsbp-allenbai-Luobenzhuo,,0,,,,,
bean-colexifies-this-clicsbp-allenbai-Eryuan,clicsbp-allenbai-Eryuan,,0,,,,,
bean-colexifies-layverb-clicsbp-allenbai-Eryuan,clicsbp-allenbai-Eryuan,,1,,,,,
bean-colexifies-layverb-clicsbp-allenbai-Heqing,clicsbp-allenbai-Heqing,,0,,,,,
bean-colexifies-layverb-clicsbp-allenbai-Jianchuan,clicsbp-allenbai-Jianchuan,,0,,,,,
bean-colexifies-layverb-clicsbp-allenbai-Qiliqiao,clicsbp-allenbai-Qiliqiao,,0,,,,,
bean-colexifies-layverb-clicsbp-allenbai-Yunlong,clicsbp-allenbai-Yunlong,,0,,,,,
bean-colexifies-layverb-clicsbp-allenbai-Lanping,clicsbp-allenbai-Lanping,,0,,,,,
bean-colexifies-layverb-clicsbp-allenbai-Luobenzhuo,clicsbp-allenbai-Luobenzhuo,,0,,,,,
bean-colexifies-layverb-clicsbp-allenbai-Xiangyun,clicsbp-allenbai-Xiangyun,,0,,,,,
bean-colexifies-layverb-clicsbp-allenbai-Zhoucheng,clicsbp-allenbai-Zhoucheng,,0,,,,,
pumpkin-colexifies-shout-clicsbp-allenbai-Luobenzhuo,clicsbp-allenbai-Luobenzhuo,,1,,,,,
pumpkin-colexifies-shout-clicsbp-allenbai-Heqing,clicsbp-allenbai-Heqing,,0,,,,,
pumpkin-colexifies-shout-clicsbp-allenbai-Jianchuan,clicsbp-allenbai-Jianchuan,,0,,,,,
pumpkin-colexifies-shout-clicsbp-allenbai-Qiliqiao,clicsbp-allenbai-Qiliqiao,,0,,,,,
pumpkin-colexifies-shout-clicsbp-allenbai-Yunlong,clicsbp-allenbai-Yunlong,,0,,,,,
pumpkin-colexifies-shout-clicsbp-allenbai-Lanping,clicsbp-allenbai-Lanping,,0,,,,,
pumpkin-colexifies-shout-clicsbp-allenbai-Xiangyun,clicsbp-allenbai-Xiangyun,,0,,,,,
pumpkin-colexifies-shout-clicsbp-allenbai-Eryuan,clicsbp-allenbai-Eryuan,,0,,,,,
pumpkin-colexifies-shout-clicsbp-allenbai-Zhoucheng,clicsbp-allenbai-Zhoucheng,,0,,,,,
vegetables-colexifies-preparedfood-clicsbp-allenbai-Heqing,clicsbp-allenbai-Heqing,,1,,,,,
vegetables-colexifies-preparedfood-clicsbp-allenbai-Jianchuan,clicsbp-allenbai-Jianchuan,,1,,,,,
vegetables-colexifies-preparedfood-clicsbp-allenbai-Yunlong,clicsbp-allenbai-Yunlong,,1,,,,,
vegetables-colexifies-preparedfood-clicsbp-allenbai-Lanping,clicsbp-allenbai-Lanping,,1,,,,,
vegetables-colexifies-preparedfood-clicsbp-allenbai-Xiangyun,clicsbp-allenbai-Xiangyun,,1,,,,,
vegetables-colexifies-preparedfood-clicsbp-allenbai-Eryuan,clicsbp-allenbai-Eryuan,,1,,,,,
vegetables-colexifies-preparedfood-clicsbp-allenbai-Qiliqiao,clicsbp-allenbai-Qiliqiao,,0,,,,,
vegetables-colexifies-preparedfood-clicsbp-allenbai-Luobenzhuo,clicsbp-allenbai-Luobenzhuo,,0,,,,,
vegetables-colexifies-preparedfood-clicsbp-allenbai-Zhoucheng,clicsbp-allenbai-Zhoucheng,,0,,,,,
pepper-colexifies-comb-clicsbp-allenbai-Lanping,clicsbp-allenbai-Lanping,,1,,,,,
pepper-colexifies-comb-clicsbp-allenbai-Heqing,clicsbp-allenbai-Heqing,,0,,,,,
pepper-colexifies-comb-clicsbp-allenbai-Jianchuan,clicsbp-allenbai-Jianchuan,,0,,,,,
pepper-colexifies-comb-clicsbp-allenbai-Qiliqiao,clicsbp-allenbai-Qiliqiao,,0,,,,,
pepper-colexifies-comb-clicsbp-allenbai-Yunlong,clicsbp-allenbai-Yunlong,,0,,,,,
pepper-colexifies-comb-clicsbp-allenbai-Luobenzhuo,clicsbp-allenbai-Luobenzhuo,,0,,,,,
pepper-colexifies-comb-clicsbp-allenbai-Xiangyun,clicsbp-allenbai-Xiangyun,,0,,,,,
pepper-colexifies-comb-clicsbp-allenbai-Eryuan,clicsbp-allenbai-Eryuan,,0,,,,,
pepper-colexifies-comb-clicsbp-allenbai-Zhoucheng,clicsbp-allenbai-Zhoucheng,,0,,,,,
peach-colexifies-steal-clicsbp-allenbai-Jianchuan,clicsbp-allenbai-Jianchuan,,1,,,,,
peach-colexifies-steal-clicsbp-allenbai-Lanping,clicsbp-allenbai-Lanping,,1,,,,,
peach-colexifies-steal-clicsbp-allenbai-Zhoucheng,clicsbp-allenbai-Zhoucheng,,1,,,,,
