ID	GLOSS	FREQUENCY
1248	EYE	2290
948	WATER	2289
221	FIRE	2277
1256	HEAD	2236
2009	DOG	2229
1380	TOOTH	2216
1394	BONE	2195
1343	SUN	2195
946	BLOOD	2188
937	BIRD	2173
763	SKIN	2168
1247	EAR	2159
1498	TWO	2159
1221	NOSE	2158
1205	TONGUE	2156
906	TREE	2156
744	EGG	2147
1035	GOOD	2144
1493	ONE	2125
1585	SLEEP	2117
1446	COME	2111
1313	MOON	2108
674	MOUTH	2079
1409	SEE	2065
778	SMOKE (EXHAUST)	2054
1202	BIG	2047
1233	NIGHT	2047
1402	BREAST	2037
857	STONE	2037
1335	WHITE	2024
1336	EAT	2021
1246	SMALL	2019
1430	STAR	2007
1333	NECK	1966
671	SAND	1964
1405	NAME	1942
628	LEAF	1931
1392	LOUSE	1929
1216	MOTHER	1920
1209	I	1905
646	ASH	1903
1220	TAIL	1892
1217	FATHER	1890
1287	COLD	1886
1447	GIVE	1880
1252	HOUSE	1862
670	ROOT	1862
960	WIND	1846
1408	HEAR	1840
1416	SIT	1838
730	SNAKE	1833
1203	LONG	1828
1371	KNEE	1821
1489	CLOUD	1817
1231	NEW	1768
1403	BITE	1743
156	RED	1741
492	THREE	1741
962	WOMAN	1721
1442	STAND	1720
1215	THOU	1705
1236	WHAT	1692
1235	WHO	1686
227	FISH	1677
1417	KILL	1674
1355	LAUGH	1673
1251	BELLY	1658
1224	LIVER	1658
1554	MAN	1651
1482	SHOULDER	1647
1223	HEART	1622
1401	DRINK	1609
1441	FLY (MOVE THROUGH AIR)	1605
1509	MOSQUITO	1599
1297	LEG	1598
1257	WING	1585
163	BLACK	1573
1839	CRY	1562
1277	HAND	1561
1726	WET	1557
1732	SKY	1541
1210	HEAVY	1539
1398	DRY	1538
1286	HOT	1508
1424	YELLOW	1505
98	ALL	1500
1494	DIE	1500
1174	YESTERDAY	1499
1443	WALK	1498
1406	FAR	1497
658	RAIN (PRECIPITATION)	1478
683	PERSON	1475
1942	NEAR	1473
215	LIE DOWN	1448
1500	FOUR	1447
1337	PIG	1419
1329	TOMORROW	1416
1645	SHORT	1413
1280	FALL	1413
1292	BAD	1400
1258	FINGERNAIL	1399
817	THEY	1396
1274	SALT	1390
1301	FOOT	1384
493	FIVE	1375
1198	MANY	1372
1237	WHERE	1369
1418	DIG	1360
1519	RUN	1359
1278	VOMIT	1354
1623	SPEAK	1351
323	FAT (ORGANIC SUBSTANCE)	1350
244	LEFT	1348
1673	ARM	1348
695	GO	1347
1396	SHARP	1342
1228	EARTH (SOIL)	1338
503	FROG	1332
1213	YOU	1332
1019	RIGHT	1330
1838	NAVEL	1329
1291	BACK	1323
1225	DAY (NOT NIGHT)	1314
1458	SAY	1313
2102	BURN	1311
239	FLOWER	1309
843	SPIDER	1307
1429	FULL	1299
