ID,Version,Organisation,Dataset,Repository,Zenodo
aaleykusunda,v2.1,lexibank,aaleykusunda,aaleykusunda,10.5281/zenodo.3746945
abrahammonpa,v3.1,lexibank,abrahammonpa,abrahammonpa,10.5281/zenodo.2630824
allenbai,v4.1,lexibank,allenbai,allenbai,10.5281/zenodo.1295536
bantubvd,v4.1,lexibank,bantubvd,bantubvd,10.5281/zenodo.1295832
baf2,v1.2,lexibank,baf2,baf2,10.5281/zenodo.5751225
beidasinitic,v5.1,lexibank,beidasinitic,beidasinitic,10.5281/zenodo.1295534
bodtkhobwa,v3.3,lexibank,bodtkhobwa,bodtkhobwa,10.5281/zenodo.2632544
bowernpny,v4.1,lexibank,bowernpny,bowernpny,10.5281/zenodo.1312841
bremerberta,v1.3,lexibank,bremerberta,bremerberta,10.5281/zenodo.5126756
backstromnorthernpakistan,v1.1,lexibank,backstromnorthernpakistan,backstromnorthernpakistan,10.5281/zenodo.5116053
castrosui,v3.1,lexibank,castrosui,castrosui,10.5281/zenodo.2634730
castroyi,v1.1,lexibank,castroyi,castroyi,10.5281/zenodo.5118535
ivanisuansu,v2.0,lexibank,ivanisuansu,ivanisuansu,10.5281/zenodo.5126965
castrozhuang,v1.1,lexibank,castrozhuang,castrozhuang,10.5281/zenodo.5118683
chenhmongmien,v3.1,lexibank,chenhmongmien,chenhmongmien,10.5281/zenodo.2634107
chacolanguages,v0.3,lexibank,chacolanguages,chacolanguages,10.5281/zenodo.6656483
chindialectsurvey,v1.1,lexibank,chindialectsurvey,chindialectsurvey,10.5281/zenodo.5121279
clarkkimmun,v1.1,lexibank,clarkkimmun,clarkkimmun,10.5281/zenodo.5121481
dhakalsouthwesttibetic,v1.0,lexibank,dhakalsouthwesttibetic,dhakalsouthwesttibetic,10.5281/zenodo.13868533
gerarditupi,v2.1,lexibank,gerarditupi,gerarditupi,10.5281/zenodo.4094079
leecaijia,v1.0,lexibank,leecaijia,leecaijia,10.5281/zenodo.13253593
gravinachadic,v1.0,lexibank,gravinachadic,gravinachadic,10.5281/zenodo.13254094
halenepal,v4.0,lexibank,halenepal,halenepal,10.5281/zenodo.2633936
hantganbangime,v1.1,lexibank,hantganbangime,hantganbangime,10.5281/zenodo.5126440
heathdogon,v0.3,languageorphans,heathdogon,heathdogon,10.5281/zenodo.8238982
hsiuhmongmien,v1.1,lexibank,hsiuhmongmien,hsiuhmongmien,10.5281/zenodo.5126450
hubercolumbian,v4.0.2,lexibank,hubercolumbian,hubercolumbian,10.5281/zenodo.1295571
huntergatherer,v2.1,lexibank,huntergatherer,huntergatherer,10.5281/zenodo.5126740
idssegmented,v1.2,intercontinental-dictionary-series,idssegmented,idssegmented,10.5281/zenodo.10404394
johanssonsoundsymbolic,v1.3,lexibank,johanssonsoundsymbolic,johanssonsoundsymbolic,10.5281/zenodo.5127130
keypano,v0.1,intercontinental-dictionary-series,keypano,keypano,
kraftchadic,v4.1,lexibank,kraftchadic,kraftchadic,10.5281/zenodo.1312959
lairgyalrong,v0.4,lexibank,lairgyalrong,lairgyalrong,10.5281/zenodo.7866795
lamanisoic,v1.1,lexibank,lamanisoic,lamanisoic,10.5281/zenodo.10404243
lindseyende,v2.2,intercontinental-dictionary-series,lindseyende,lindseyende,10.5281/zenodo.4280602
listsamplesize,v1.1,sequencecomparison,listsamplesize,listsamplesize,10.5281/zenodo.5128049
luangthongkumkaren,v1.1,lexibank,luangthongkumkaren,luangthongkumkaren,
mannburmish,v1.3,lexibank,mannburmish,mannburmish,10.5281/zenodo.5131418
marrisonnaga,v3.1,lexibank,marrisonnaga,marrisonnaga,10.5281/zenodo.2634315
mitterhoferbena,v3.1,lexibank,mitterhoferbena,mitterhoferbena,10.5281/zenodo.2633979
mixtecansubgrouping,v0.4,lexibank,mixtecansubgrouping,mixtecansubgrouping,10.5281/zenodo.7642970
naganorgyalrongic,v3.1,lexibank,naganorgyalrongic,naganorgyalrongic,10.5281/zenodo.2634450
northeuralex,v4.1,lexibank,northeuralex,northeuralex,10.5281/zenodo.1312848
oskolskayatungusic,v1.1,lexibank,oskolskayatungusic,oskolskayatungusic,10.5281/zenodo.10404265
othanieljen,v1.2,lexibank,othanieljen,othanieljen,
polyglottaafricana,v2.1,lexibank,polyglottaafricana,polyglottaafricana,10.5281/zenodo.5136889
robbeetstriangulation,v0.1,lexibank,robbeetstriangulation,robbeetstriangulation,
robinsonap,v4.1,lexibank,robinsonap,robinsonap,10.5281/zenodo.1312827
sohartmannchin,v3.1,lexibank,sohartmannchin,sohartmannchin,10.5281/zenodo.2634477
suntb,v4.1,lexibank,suntb,suntb,10.5281/zenodo.1295556
tls,v4.2,lexibank,tls,tls,10.5281/zenodo.1312845
transnewguineaorg,v3.2,lexibank,transnewguineaorg,transnewguineaorg,10.5281/zenodo.2634949
tuled,v0.12,tupian-language-resources,tuled,tuled,
visserkalamang,v2.2,intercontinental-dictionary-series,visserkalamang,visserkalamang,10.5281/zenodo.4518506
wangbai,v1.1,lexibank,wangbai,wangbai,10.5281/zenodo.5137406
wold,v4.1,lexibank,wold,wold,10.5281/zenodo.1299889
yanglalo,v4.0,lexibank,yanglalo,yanglalo,10.5281/zenodo.2634028
yangyi,v1.3,lexibank,yangyi,yangyi,10.5281/zenodo.5136923
yuchinese,v2.1,intercontinental-dictionary-series,yuchinese,yuchinese,10.5281/zenodo.4570270
zgraggenmadang,v4.1,lexibank,zgraggenmadang,zgraggenmadang,10.5281/zenodo.1312831
zhoubizic,v1.2,lexibank,zhoubizic,zhoubizic,10.5281/zenodo.5140128
