ID	Version	Organisation	Dataset	Repository	Zenodo
aaleykusunda	v2.1	lexibank	aaleykusunda	aaleykusunda	10.5281/zenodo.13149034
abrahammonpa	v3.1	lexibank	abrahammonpa	abrahammonpa	10.5281/zenodo.13149071
abvdoceanic	v0.3	lexibank	abvdoceanic	abvdoceanic	10.5281/zenodo.13149095
abvdphilippines	v1.0	lexibank	abvdphilippines	abvdphilippines	10.5281/zenodo.13304336
allenbai	v4.1	lexibank	allenbai	allenbai	10.5281/zenodo.13149106
backstromnorthernpakistan	v1.1	lexibank	backstromnorthernpakistan	backstromnorthernpakistan	10.5281/zenodo.13149113
baf2	v1.2	lexibank	baf2	baf2	10.5281/zenodo.14001726
bantubvd	v4.1	lexibank	bantubvd	bantubvd	10.5281/zenodo.13143126
barlowlote	v1.0	lexibank	barlowlote	barlowlote	10.5281/zenodo.14505730
beidasinitic	v5.1	lexibank	beidasinitic	beidasinitic	10.5281/zenodo.13149151
blustaustronesian	v1.1	sequencecomparison	blustaustronesian	blustaustronesian	10.5281/zenodo.13150156
bodtkhobwa	v3.3	lexibank	bodtkhobwa	bodtkhobwa	10.5281/zenodo.13149621
bowernpny	v4.1	lexibank	bowernpny	bowernpny	10.5281/zenodo.13143103
bremerberta	v1.3	lexibank	bremerberta	bremerberta	10.5281/zenodo.13829541
castrosui	v3.1	lexibank	castrosui	castrosui	10.5281/zenodo.13149296
castroyi	v1.1	lexibank	castroyi	castroyi	10.5281/zenodo.13149313
castrozhuang	v1.1	lexibank	castrozhuang	castrozhuang	10.5281/zenodo.13149318
chacolanguages	v0.3	lexibank	chacolanguages	chacolanguages	10.5281/zenodo.13684237
chenhmongmien	v3.1	lexibank	chenhmongmien	chenhmongmien	10.5281/zenodo.13149500
chindialectsurvey	v1.1	lexibank	chindialectsurvey	chindialectsurvey	10.5281/zenodo.13149727
clarkkimmun	v1.1	lexibank	clarkkimmun	clarkkimmun	10.5281/zenodo.13149728
dhakalsouthwesttibetic	v1.0	lexibank	dhakalsouthwesttibetic	dhakalsouthwesttibetic	10.5281/zenodo.13868534
gerarditupi	v2.1	lexibank	gerarditupi	gerarditupi	10.5281/zenodo.13841415
gravinachadic	v1.0	lexibank	gravinachadic	gravinachadic	10.5281/zenodo.13254095
halenepal	v4.0	lexibank	halenepal	halenepal	10.5281/zenodo.13143140
